emote,description,names
👱,"medium-light skin tone, woman, blonde",blond-haired woman: medium-light skin tone
👩,"doctor, nurse, healthcare, woman, therapist, medium skin tone",woman health worker: medium skin tone
🤽,"medium-dark skin tone, woman, water polo",woman playing water polo: medium-dark skin tone
🚶,"walk, light skin tone, hike, man",man walking: light skin tone
🙆,"dark skin tone, hand, ok, gesture, woman",woman gesturing OK: dark skin tone
🤹,"multitask, juggling, medium-light skin tone, woman",woman juggling: medium-light skin tone
🏄,"medium-dark skin tone, woman, surfing",woman surfing: medium-dark skin tone
🏂,"ski, dark skin tone, snowboard, snow",snowboarder: dark skin tone
🏂,"ski, snowboard, medium-dark skin tone, snow",snowboarder: medium-dark skin tone
🏂,"ski, snowboard, snow, medium skin tone",snowboarder: medium skin tone
🏂,"ski, snowboard, medium-light skin tone, snow",snowboarder: medium-light skin tone
🏂,"ski, light skin tone, snowboard, snow",snowboarder: light skin tone
👨,"artist, palette, medium skin tone, man",man artist: medium skin tone
Ⓜ,"m, circle",circled M
👨,"entertainer, singer, actor, star, rock, medium skin tone, man",man singer: medium skin tone
👷,"dark skin tone, woman, worker, construction",woman construction worker: dark skin tone
👩,"judge, woman, scales, medium skin tone",woman judge: medium skin tone
💆,"medium-light skin tone, face, massage, man",man getting massage: medium-light skin tone
🏊,"dark skin tone, swim, woman",woman swimming: dark skin tone
🤷,"woman, indifference, shrug, ignorance, doubt",woman shrugging
🕵,"dark skin tone, sleuth, spy, detective, man",man detective: dark skin tone
👳,"turban, man",man wearing turban
👨,"family, woman, girl, man","family: man, woman, girl"
👨,"family, boy, woman, man","family: man, woman, boy"
💇,"medium-light skin tone, woman, haircut",woman getting haircut: medium-light skin tone
👮,"dark skin tone, officer, police, cop",police officer: dark skin tone
👮,"officer, medium-dark skin tone, police, cop",police officer: medium-dark skin tone
👮,"officer, police, medium skin tone, cop",police officer: medium skin tone
👮,"officer, medium-light skin tone, police, cop",police officer: medium-light skin tone
👮,"light skin tone, officer, police, cop",police officer: light skin tone
👨,"manager, business, office, architect, white-collar, man",man office worker
👨,"coder, developer, software, technologist, inventor, man",man technologist
🏃,"dark skin tone, running, marathon",person running: dark skin tone
🏃,"running, medium-dark skin tone, marathon",person running: medium-dark skin tone
🏃,"running, marathon, medium skin tone",person running: medium skin tone
🚴,"bicycle, cyclist, medium-dark skin tone, woman, biking",woman biking: medium-dark skin tone
🏃,"running, medium-light skin tone, marathon",person running: medium-light skin tone
🏃,"running, light skin tone, marathon",person running: light skin tone
👨,"plane, pilot, medium skin tone, man",man pilot: medium skin tone
🙍,"light skin tone, frowning, gesture, man",man frowning: light skin tone
⛹,"dark skin tone, woman, ball",woman bouncing ball: dark skin tone
👩,"manager, business, office, medium-dark skin tone, woman, architect, white-collar",woman office worker: medium-dark skin tone
👩,"coder, developer, software, medium-dark skin tone, woman, technologist, inventor",woman technologist: medium-dark skin tone
👩,"industrial, factory, assembly, woman, worker",woman factory worker
🤽,"medium-dark skin tone, water polo, man",man playing water polo: medium-dark skin tone
👩,"instructor, professor, woman, teacher",woman teacher
🙆,"dark skin tone, hand, ok, gesture, man",man gesturing OK: dark skin tone
👩,"industrial, dark skin tone, factory, assembly, woman, worker",woman factory worker: dark skin tone
👩,"instructor, dark skin tone, professor, woman, teacher",woman teacher: dark skin tone
🤹,"multitask, juggling, medium-light skin tone, man",man juggling: medium-light skin tone
🙎,"light skin tone, pouting, gesture, woman",woman pouting: light skin tone
🤾,"medium-dark skin tone, woman, handball",woman playing handball: medium-dark skin tone
👨,"graduate, student, medium skin tone, man",man student: medium skin tone
👨,"light skin tone, doctor, nurse, healthcare, therapist, man",man health worker: light skin tone
🏄,"dark skin tone, surfing",person surfing: dark skin tone
🏄,"medium-dark skin tone, surfing",person surfing: medium-dark skin tone
🏄,"surfing, medium skin tone",person surfing: medium skin tone
🏄,"medium-light skin tone, surfing",person surfing: medium-light skin tone
🏄,"light skin tone, surfing",person surfing: light skin tone
🙅,"hand, forbidden, gesture, woman, prohibited, no, medium skin tone",woman gesturing NO: medium skin tone
👨,"couple, man","kiss: man, man"
💂,"woman, guard, medium skin tone",woman guard: medium skin tone
👷,"dark skin tone, worker, man, construction",man construction worker: dark skin tone
👩,"doctor, nurse, healthcare, woman, therapist",woman health worker
👩,"artist, palette, woman",woman artist
👁,"eye, witness, speech bubble",eye in speech bubble
👩,"entertainer, singer, actor, woman, star, rock",woman singer
👨,"cook, chef, medium skin tone, man",man cook: medium skin tone
🏃,"racing, running, medium-light skin tone, woman, marathon",woman running: medium-light skin tone
🉑,"japanese, ?, “acceptable”, ideograph",Japanese “acceptable” button
🉐,"japanese, ?, “bargain”, ideograph",Japanese “bargain” button
👩,"dark skin tone, artist, palette, woman",woman artist: dark skin tone
👩,"dark skin tone, entertainer, singer, actor, woman, star, rock",woman singer: dark skin tone
🏊,"dark skin tone, swim, man",man swimming: dark skin tone
🈺,"japanese, ?, “open for business”, ideograph",Japanese “open for business” button
🈹,"japanese, ?, “discount”, ideograph",Japanese “discount” button
🈸,"japanese, ?, “application”, ideograph",Japanese “application” button
🈷,"“monthly amount”, japanese, ?, ideograph",Japanese “monthly amount” button
🈶,"“not free of charge”, japanese, ?, ideograph",Japanese “not free of charge” button
🈵,"“no vacancy”, japanese, ?, ideograph",Japanese “no vacancy” button
💇,"medium-light skin tone, man, haircut",man getting haircut: medium-light skin tone
🈴,"japanese, ?, ideograph, “passing grade”",Japanese “passing grade” button
🈳,"japanese, ?, “vacancy”, ideograph",Japanese “vacancy” button
👨,"light skin tone, justice, scales, man",man judge: light skin tone
🈲,"japanese, ?, “prohibited”, ideograph",Japanese “prohibited” button
🈯,"japanese, ?, “reserved”, ideograph",Japanese “reserved” button
🚣,"dark skin tone, rowboat, woman, boat",woman rowing boat: dark skin tone
🚴,"bicycle, cyclist, medium-dark skin tone, biking, man",man biking: medium-dark skin tone
👨,"farmer, gardener, rancher, medium skin tone, man",man farmer: medium skin tone
🙎,"pouting, gesture, woman",woman pouting
🏋,"dark skin tone, weight lifter, woman",woman lifting weights: dark skin tone
👩,"judge, woman, scales",woman judge
👨,"dark skin tone, firetruck, firefighter, man",man firefighter: dark skin tone
⛹,"dark skin tone, ball, man",man bouncing ball: dark skin tone
👨,"firetruck, light skin tone, firefighter, man",man firefighter: light skin tone
🈚,"japanese, ?, “free of charge”, ideograph",Japanese “free of charge” button
🤷,"dark skin tone, woman, indifference, shrug, ignorance, doubt",woman shrugging: dark skin tone
👨,"dark skin tone, rocket, astronaut, man",man astronaut: dark skin tone
👨,"rocket, light skin tone, astronaut, man",man astronaut: light skin tone
👩,"family, woman, girl","family: woman, woman, girl"
👩,"family, boy, woman","family: woman, woman, boy"
🈂,"japanese, ?, katakana, “service charge”",Japanese “service charge” button
🈁,"japanese, “here”, katakana, ??",Japanese “here” button
🚵,"bicycle, cyclist, bike, mountain, medium-dark skin tone, woman, biking",woman mountain biking: medium-dark skin tone
👨,"family, girl, man","family: man, girl"
👨,"family, boy, man","family: man, boy"
👩,"plane, woman, pilot, medium skin tone",woman pilot: medium skin tone
🙎,"light skin tone, pouting, gesture, man",man pouting: light skin tone
🤾,"medium-dark skin tone, man, handball",man playing handball: medium-dark skin tone
🇦,flag,Azerbaijan
🇦,flag,Åland Islands
🕵,"sleuth, spy, woman, detective, medium skin tone",woman detective: medium skin tone
🇦,flag,Aruba
🇦,flag,Australia
🏊,"swim, woman",woman swimming
🇦,flag,Austria
🇦,flag,American Samoa
🇦,flag,Argentina
🇦,flag,Antarctica
👩,"graduate, student, woman",woman student
🇦,flag,Angola
🇦,flag,Armenia
🇦,flag,Albania
👱,"woman, blonde",blond-haired woman
🙅,"hand, forbidden, gesture, prohibited, no, medium skin tone, man",man gesturing NO: medium skin tone
🇦,flag,Anguilla
🇦,flag,Antigua & Barbuda
🇦,flag,Afghanistan
💂,"guard, medium skin tone, man",man guard: medium skin tone
🇦,flag,United Arab Emirates
🇦,flag,Andorra
🇦,flag,Ascension Island
👩,"dark skin tone, graduate, student, woman",woman student: dark skin tone
🏃,"racing, running, medium-light skin tone, marathon, man",man running: medium-light skin tone
👩,"cook, chef, woman",woman cook
👩,"light skin tone, doctor, nurse, healthcare, woman, therapist",woman health worker: light skin tone
🤽,"medium-light skin tone, woman, water polo",woman playing water polo: medium-light skin tone
🙆,"hand, ok, gesture, woman, medium skin tone",woman gesturing OK: medium skin tone
👩,"dark skin tone, cook, chef, woman",woman cook: dark skin tone
🇧,flag,Belize
🇧,flag,Belarus
🙋,"gesture, medium-dark skin tone, raising hand, man",man raising hand: medium-dark skin tone
🇧,flag,Botswana
🇧,flag,Bouvet Island
🇧,flag,Bhutan
🚣,"dark skin tone, rowboat, man, boat",man rowing boat: dark skin tone
🇧,flag,Bahamas
🇧,flag,Brazil
🇧,flag,Caribbean Netherlands
🇧,flag,Bolivia
🏇,"dark skin tone, racing, jockey, horse, racehorse",horse racing: dark skin tone
🇧,flag,Brunei
🏇,"racing, medium-dark skin tone, jockey, horse, racehorse",horse racing: medium-dark skin tone
🇧,flag,Bermuda
🏇,"racing, jockey, horse, racehorse, medium skin tone",horse racing: medium skin tone
🇧,flag,St. Barthélemy
🏇,"racing, medium-light skin tone, jockey, horse, racehorse",horse racing: medium-light skin tone
🏇,"racing, light skin tone, jockey, horse, racehorse",horse racing: light skin tone
🙎,"pouting, gesture, man",man pouting
🏋,"dark skin tone, weight lifter, man",man lifting weights: dark skin tone
🇧,flag,Benin
🇧,flag,Burundi
🇧,flag,Bahrain
🇧,flag,Bulgaria
🇧,flag,Burkina Faso
🇧,flag,Belgium
🇧,flag,Bangladesh
🇧,flag,Barbados
👩,"farmer, gardener, woman, rancher",woman farmer
🇧,flag,Bosnia & Herzegovina
🇰,flag,Kazakhstan
🇰,flag,Cayman Islands
🤷,"dark skin tone, indifference, shrug, ignorance, man, doubt",man shrugging: dark skin tone
🇰,flag,Kuwait
👷,"woman, worker, medium skin tone, construction",woman construction worker: medium skin tone
🇰,flag,South Korea
🇰,flag,North Korea
🇰,flag,St. Kitts & Nevis
🇰,flag,Comoros
👩,"farmer, dark skin tone, gardener, woman, rancher",woman farmer: dark skin tone
👩,"judge, light skin tone, woman, scales",woman judge: light skin tone
🤽,"dark skin tone, water, polo",person playing water polo: dark skin tone
🤽,"water, medium-dark skin tone, polo",person playing water polo: medium-dark skin tone
🇰,flag,Kiribati
🤽,"water, polo, medium skin tone",person playing water polo: medium skin tone
🇰,flag,Cambodia
🤽,"water, medium-light skin tone, polo",person playing water polo: medium-light skin tone
🇰,flag,Kyrgyzstan
🤽,"water, light skin tone, polo",person playing water polo: light skin tone
🇰,flag,Kenya
👨,"mathematician, engineer, medium-light skin tone, physicist, chemist, biologist, scientist, man",man scientist: medium-light skin tone
🚵,"bicycle, cyclist, bike, mountain, medium-dark skin tone, man",man mountain biking: medium-dark skin tone
👩,"firetruck, firefighter, woman, medium skin tone",woman firefighter: medium skin tone
🏌,"dark skin tone, woman, golf",woman golfing: dark skin tone
👨,"electrician, tradesperson, medium-light skin tone, plumber, mechanic, man",man mechanic: medium-light skin tone
🏊,"swim, woman, medium skin tone",woman swimming: medium skin tone
🇨,flag,Czech Republic
👩,"rocket, woman, astronaut, medium skin tone",woman astronaut: medium skin tone
🇨,flag,Cyprus
🇨,flag,Christmas Island
🕵,"sleuth, spy, detective, medium skin tone, man",man detective: medium skin tone
🇨,flag,Curaçao
🇨,flag,Cape Verde
🇨,flag,Cuba
🤸,"dark skin tone, gymnastics, woman, cartwheel",woman cartwheeling: dark skin tone
🏊,"swim, man",man swimming
🇨,flag,Costa Rica
🇨,flag,Clipperton Island
🇨,flag,Colombia
🇨,flag,China
🇨,flag,Cameroon
🇨,flag,Chile
🇨,flag,Cook Islands
👱,"blond, man",blond-haired man
🇨,flag,Côte d’Ivoire
🇨,flag,Switzerland
🇨,flag,Congo - Brazzaville
🇨,flag,Central African Republic
⏺,"record, circle",record button
👐,"dark skin tone, hand, open",open hands: dark skin tone
⏹,"stop, square",stop button
👐,"hand, open, medium-dark skin tone",open hands: medium-dark skin tone
🇨,flag,Congo - Kinshasa
⏸,"vertical, double, bar, pause",pause button
👐,"hand, open, medium skin tone",open hands: medium skin tone
🇨,flag,Cocos (Keeling) Islands
🚶,"walk, medium-dark skin tone, woman, hike",woman walking: medium-dark skin tone
👐,"hand, open, medium-light skin tone",open hands: medium-light skin tone
🙇,"favor, apology, gesture, woman, sorry, bowing",woman bowing
👐,"light skin tone, hand, open",open hands: light skin tone
🇨,flag,Canada
⏳,"sand, hourglass, timer",hourglass with flowing sand
⏲,"clock, timer",timer clock
⏱,clock,stopwatch
⏰,"clock, alarm",alarm clock
🚴,"bicycle, cyclist, medium-light skin tone, woman, biking",woman biking: medium-light skin tone
🇱,flag,Libya
⏯,"right, arrow, triangle, play, pause",play or pause button
⏮,"previous track, arrow, triangle, previous scene",last track button
⏭,"next scene, arrow, triangle, next track",next track button
👼,"dark skin tone, fairy tale, fantasy, face, baby, angel",baby angel: dark skin tone
🇱,flag,Latvia
⏬,"double, arrow, down",fast down button
👼,"fairy tale, medium-dark skin tone, fantasy, face, baby, angel",baby angel: medium-dark skin tone
🇱,flag,Luxembourg
⏫,"double, arrow",fast up button
👼,"fairy tale, fantasy, face, baby, medium skin tone, angel",baby angel: medium skin tone
⏪,"rewind, double, arrow",fast reverse button
👼,"fairy tale, medium-light skin tone, fantasy, face, baby, angel",baby angel: medium-light skin tone
👨,"plane, light skin tone, pilot, man",man pilot: light skin tone
👼,"light skin tone, fairy tale, fantasy, face, baby, angel",baby angel: light skin tone
🇱,flag,Lithuania
🇱,flag,Lesotho
⏩,"fast, forward, double, arrow",fast-forward button
🖐,"dark skin tone, hand, splayed, finger",raised hand with fingers splayed: dark skin tone
🇱,flag,Liberia
🖐,"hand, splayed, medium-dark skin tone, finger",raised hand with fingers splayed: medium-dark skin tone
🖐,"hand, splayed, finger, medium skin tone",raised hand with fingers splayed: medium skin tone
🖐,"hand, splayed, medium-light skin tone, finger",raised hand with fingers splayed: medium-light skin tone
🖐,"light skin tone, hand, splayed, finger",raised hand with fingers splayed: light skin tone
⛹,"woman, ball, medium skin tone",woman bouncing ball: medium skin tone
🇱,flag,Sri Lanka
🤽,"medium-light skin tone, water polo, man",man playing water polo: medium-light skin tone
🤾,"dark skin tone, ball, handball",person playing handball: dark skin tone
🤾,"medium-dark skin tone, ball, handball",person playing handball: medium-dark skin tone
🇱,flag,Liechtenstein
🤾,"ball, medium skin tone, handball",person playing handball: medium skin tone
🤾,"medium-light skin tone, ball, handball",person playing handball: medium-light skin tone
🤾,"light skin tone, ball, handball",person playing handball: light skin tone
🇱,flag,St. Lucia
🇱,flag,Lebanon
🇱,flag,Laos
👩,"plane, woman, pilot",woman pilot
⏏,eject,eject button
💁,"light skin tone, sassy, tipping hand, man",man tipping hand: light skin tone
🇩,flag,Algeria
🇩,flag,Dominican Republic
🇩,flag,Dominica
🇩,flag,Denmark
🤾,"medium-light skin tone, woman, handball",woman playing handball: medium-light skin tone
🇩,flag,Djibouti
8,keycap,keycap: 8
🇩,flag,Diego Garcia
👨,"industrial, factory, assembly, worker, man",man factory worker
🇩,flag,Germany
👨,"instructor, professor, teacher, man",man teacher
4,keycap,keycap: 4
🤦,"exasperation, disbelief, woman, facepalm",woman facepalming
💆,"dark skin tone, woman, face, massage",woman getting massage: dark skin tone
🇲,flag,Mozambique
🇲,flag,Malaysia
🇲,flag,Mexico
🇲,flag,Malawi
🇲,flag,Maldives
🙅,"light skin tone, hand, forbidden, gesture, woman, prohibited, no",woman gesturing NO: light skin tone
🇲,flag,Mauritius
👩,"industrial, factory, assembly, medium-dark skin tone, woman, worker",woman factory worker: medium-dark skin tone
💂,"light skin tone, woman, guard",woman guard: light skin tone
🇲,flag,Malta
👩,"instructor, professor, medium-dark skin tone, woman, teacher",woman teacher: medium-dark skin tone
👷,"worker, medium skin tone, man, construction",man construction worker: medium skin tone
🇲,flag,Montserrat
🇲,flag,Mauritania
🇲,flag,Martinique
🤹,"multitask, juggling, man",man juggling
🇲,flag,Northern Mariana Islands
🇲,flag,Macau SAR China
🇲,flag,Mongolia
🇲,flag,Myanmar (Burma)
🇲,flag,Mali
🇲,flag,Macedonia
🇲,flag,Marshall Islands
🇲,flag,Madagascar
🇲,flag,St. Martin
🤾,"woman, handball",woman playing handball
🇲,flag,Montenegro
💂,"woman, guard",woman guard
🇲,flag,Moldova
🇲,flag,Monaco
🇲,flag,Morocco
🏌,"dark skin tone, golf, man",man golfing: dark skin tone
🏊,"swim, medium skin tone, man",man swimming: medium skin tone
🤸,"dark skin tone, gymnastics, cartwheel, man",man cartwheeling: dark skin tone
🙍,"frowning, gesture, medium-dark skin tone, woman",woman frowning: medium-dark skin tone
👨,"artist, palette, man",man artist
👨,"entertainer, singer, actor, star, rock, man",man singer
🚶,"walk, medium-dark skin tone, hike, man",man walking: medium-dark skin tone
🙇,"favor, apology, gesture, sorry, bowing, man",man bowing
🚣,"rowboat, woman, medium skin tone, boat",woman rowing boat: medium skin tone
🚴,"bicycle, cyclist, medium-light skin tone, biking, man",man biking: medium-light skin tone
🇳,flag,New Zealand
🆚,"versus, vs",VS button
🇳,flag,Niue
🏋,"weight lifter, woman, medium skin tone",woman lifting weights: medium skin tone
👩,"artist, palette, medium-dark skin tone, woman",woman artist: medium-dark skin tone
🆙,"up, mark",UP! button
🆘,"help, sos",SOS button
🆗,ok,OK button
🆖,ng,NG button
👩,"entertainer, singer, medium-dark skin tone, actor, woman, star, rock",woman singer: medium-dark skin tone
🆕,new,NEW button
🆔,"identity, id",ID button
🆓,free,FREE button
🇳,flag,Nauru
🆒,cool,COOL button
🆑,cl,CL button
🇳,flag,Nepal
🇳,flag,Norway
⛹,"ball, medium skin tone, man",man bouncing ball: medium skin tone
🇳,flag,Netherlands
🆎,"blood type, ab",AB button (blood type)
🤹,"dark skin tone, multitask, juggling, woman",woman juggling: dark skin tone
🇳,flag,Nicaragua
🇳,flag,Nigeria
🇳,flag,Norfolk Island
🇳,flag,Niger
🤷,"woman, indifference, shrug, ignorance, medium skin tone, doubt",woman shrugging: medium skin tone
🇳,flag,New Caledonia
🇳,flag,Namibia
👩,"couple, woman","kiss: woman, woman"
👩,"couple, woman, man","kiss: woman, man"
🅿,parking,P button
🅾,"blood type, o",O button (blood type)
🅱,"b, blood type",B button (blood type)
🅰,"a, blood type",A button (blood type)
🚵,"bicycle, cyclist, bike, mountain, medium-light skin tone, woman, biking",woman mountain biking: medium-light skin tone
👨,"medium-light skin tone, manager, business, office, architect, white-collar, man",man office worker: medium-light skin tone
👨,"coder, medium-light skin tone, developer, software, technologist, inventor, man",man technologist: medium-light skin tone
*,keycap,keycap: *
👩,"plane, light skin tone, woman, pilot",woman pilot: light skin tone
🤾,"medium-light skin tone, man, handball",man playing handball: medium-light skin tone
🤰,"dark skin tone, woman, pregnant",pregnant woman: dark skin tone
🤰,"medium-dark skin tone, woman, pregnant",pregnant woman: medium-dark skin tone
🤰,"woman, pregnant, medium skin tone",pregnant woman: medium skin tone
🤰,"medium-light skin tone, woman, pregnant",pregnant woman: medium-light skin tone
🤰,"light skin tone, woman, pregnant",pregnant woman: light skin tone
🕵,"sleuth, light skin tone, spy, woman, detective",woman detective: light skin tone
🤦,"exasperation, disbelief, facepalm, man",man facepalming
💆,"dark skin tone, face, massage, man",man getting massage: dark skin tone
👳,"turban, medium-dark skin tone, woman",woman wearing turban: medium-dark skin tone
🙅,"light skin tone, hand, forbidden, gesture, prohibited, no, man",man gesturing NO: light skin tone
💂,"light skin tone, guard, man",man guard: light skin tone
🇴,flag,Oman
🤾,"man, handball",man playing handball
💂,"guard, man",man guard
👨,"graduate, student, man",man student
🙆,"light skin tone, hand, ok, gesture, woman",woman gesturing OK: light skin tone
🙍,"frowning, gesture, medium-dark skin tone, man",man frowning: medium-dark skin tone
🙋,"medium-light skin tone, gesture, raising hand, man",man raising hand: medium-light skin tone
👩,"graduate, student, medium-dark skin tone, woman",woman student: medium-dark skin tone
🚣,"rowboat, medium skin tone, man, boat",man rowing boat: medium skin tone
🇵,flag,Paraguay
🇵,flag,Palau
👨,"cook, chef, man",man cook
🏋,"weight lifter, medium skin tone, man",man lifting weights: medium skin tone
🚶,"walk, woman, hike",woman walking
🇵,flag,Portugal
🇵,flag,Palestinian Territories
🇵,flag,Puerto Rico
🇵,flag,Pitcairn Islands
🇵,flag,St. Pierre & Miquelon
🇵,flag,Poland
🇵,flag,Pakistan
🤹,"dark skin tone, multitask, juggling, man",man juggling: dark skin tone
🤦,"exasperation, disbelief, medium-dark skin tone, woman, facepalm",woman facepalming: medium-dark skin tone
🇵,flag,Philippines
🇵,flag,Papua New Guinea
🇵,flag,French Polynesia
🇵,flag,Peru
🤷,"indifference, shrug, ignorance, medium skin tone, man, doubt",man shrugging: medium skin tone
👩,"cook, chef, medium-dark skin tone, woman",woman cook: medium-dark skin tone
⌨,computer,keyboard
🇵,flag,Panama
🙎,"pouting, gesture, medium-dark skin tone, woman",woman pouting: medium-dark skin tone
👷,"light skin tone, woman, worker, construction",woman construction worker: light skin tone
⌛,"sand, timer",hourglass
⌚,clock,watch
👨,"doctor, nurse, medium-dark skin tone, healthcare, therapist, man",man health worker: medium-dark skin tone
🚵,"bicycle, cyclist, bike, mountain, medium-light skin tone, man",man mountain biking: medium-light skin tone
